Disease,Symptoms,Precautions,Drugs
Aortic Regurgitation,Shortness of breath - Chest pain - Fatigue,Congenital heart defects - Rheumatic fever - Connective tissue disorders,Medications (vasodilators, diuretics) - Valve replacement surgery
Mitral Stenosis,Shortness of breath - Fatigue - Swelling in legs,Rheumatic fever - Age - Congenital heart defects,Medications (diuretics, blood thinners) - Balloon valvuloplasty - Valve replacement surgery
Mitral Regurgitation,Shortness of breath - Fatigue - Heart palpitations,Rheumatic fever - Age - Congenital heart defects,Medications (vasodilators, diuretics) - Valve repair or replacement surgery
Tricuspid Stenosis,Shortness of breath - Fatigue - Swelling in legs,Congenital heart defects - Rheumatic fever,Medications (diuretics, blood thinners) - Balloon valvuloplasty - Valve replacement surgery
Tricuspid Regurgitation,Swelling in legs - Fatigue - Enlarged liver,Congenital heart defects - Rheumatic fever - Age,Medications (diuretics, vasodilators) - Valve repair or replacement surgery
Arrhythmogenic Right Ventricular Dysplasia (ARVD),Palpitations - Fainting - Sudden cardiac arrest,Genetic mutations - Family history,Implantable cardioverter-defibrillator (ICD) - Medications (beta-blockers)
Ebstein's Anomaly,Cyanosis (bluish skin) - Shortness of breath - Fatigue,Maternal lithium use during pregnancy - Genetics,Observation - Surgery (repair or replacement of tricuspid valve)
Tetralogy of Fallot,Blue-tinged skin - Shortness of breath - Poor weight gain,Genetics - Maternal smoking during pregnancy,Open-heart surgery (corrective repair)
Aneurysm,Abdominal or chest pain - Back pain - Shortness of breath,High blood pressure - Atherosclerosis - Family history,Surgery (aneurysm repair) - Endovascular stent graft
High Blood Pressure (Hypertension),Headache - Fatigue - Chest pain - Vision problems,Age - Family history - Obesity - Smoking,Medications (diuretics, ACE inhibitors) - Lifestyle changes (diet, exercise)
Deep Vein Thrombosis (DVT),Swelling - Pain - Red or discolored skin,Immobilization - Surgery - Cancer,Anticoagulant medications - Compression stockings - Thrombolytics
Pulmonary Embolism (PE),Shortness of breath - Chest pain - Rapid heart rate,Deep vein thrombosis (DVT) - Surgery - Cancer,Anticoagulant medications - Thrombolytics - Oxygen therapy
Atrial Fibrillation,Irregular heartbeat - Fatigue - Dizziness,Age - High blood pressure - Heart valve disorders,Medications (anticoagulants, antiarrhythmics) - Cardioversion - Ablation
Ventricular Fibrillation,Sudden loss of consciousness - No pulse - No breathing,Heart attack - Previous heart surgery - Family history,Defibrillation - CPR - Medications (amiodarone)
Peripartum Cardiomyopathy,Shortness of breath - Swelling in legs - Fatigue,Advanced maternal age - Hypertension - Multiple pregnancies,Medications (beta-blockers, diuretics) - Heart transplant
Aortic Dissection,Sudden severe chest or back pain - Shortness of breath,High blood pressure - Connective tissue disorders - Aging,Surgery (aortic repair) - Medications (beta-blockers)
Coarctation of the Aorta,High blood pressure - Headache - Weakness in lower extremities,Genetics - Turner syndrome - Bicuspid aortic valve,Surgery (aortic repair) - Balloon angioplasty
Eisenmenger Syndrome,Cyanosis (bluish skin) - Shortness of breath - Fatigue,Congenital heart defects - Untreated shunt lesions,Medications (diuretics, anticoagulants) - Heart-lung transplant
Kawasaki Disease,Fever - Rash - Swelling in hands and feet,Young age - Asian ethnicity - Male gender,Intravenous immunoglobulin (IVIG) - Aspirin - Corticosteroids
Brugada Syndrome,Fainting - Irregular heartbeat - Sudden cardiac arrest,Genetic mutations - Family history,Implantable cardioverter-defibrillator (ICD) - Medications (sodium channel blockers)
Hypoplastic Left Heart Syndrome (HLHS),Cyanosis (bluish skin) - Rapid breathing - Poor feeding,Genetics - Maternal exposure to certain medications,Heart transplant - Staged surgeries
Takayasu's Arteritis,Weakness - Pain - Vision problems,Autoimmune disorders - Female gender - Young age,Corticosteroids - Immunosuppressive medications
Pulmonary Hypertension,Shortness of breath - Fatigue - Chest pain,Connective tissue disorders - Congenital heart defects - Chronic lung diseases,Medications (vasodilators, anticoagulants) - Oxygen therapy
Acute Pericarditis,Chest pain - Fever - Fatigue,Viral infections - Autoimmune disorders - Kidney failure,Nonsteroidal anti-inflammatory drugs (NSAIDs) - Colchicine
Mitral Valve Prolapse (MVP),Irregular heartbeat - Chest pain - Fatigue,Genetics - Connective tissue disorders - Female gender,Beta-blockers - Surgery (valve repair or replacement)
Aortic Stenosis,Chest pain - Shortness of breath - Fatigue,Aging - Congenital heart defects - Rheumatic fever,Medications (diuretics, ACE inhibitors) - Valve replacement surgery
Aortic Regurgitation,Shortness of breath - Chest pain - Fatigue,Congenital heart defects - Rheumatic fever - Connective tissue disorders,Medications (vasodilators, diuretics) - Valve replacement surgery
Mitral Stenosis,Shortness of breath - Fatigue - Swelling in legs,Rheumatic fever - Age - Congenital heart defects,Medications (diuretics, blood thinners) - Balloon valvuloplasty - Valve replacement surgery
Mitral Regurgitation,Shortness of breath - Fatigue - Heart palpitations,Rheumatic fever - Age - Congenital heart defects,Medications (vasodilators, diuretics) - Valve repair or replacement surgery
Tricuspid Stenosis,Shortness of breath - Fatigue - Swelling in legs,Congenital heart defects - Rheumatic fever,Medications (diuretics, blood thinners) - Balloon valvuloplasty - Valve replacement surgery
Tricuspid Regurgitation,Swelling in legs - Fatigue - Enlarged liver,Congenital heart defects - Rheumatic fever - Age,Medications (diuretics, vasodilators) - Valve repair or replacement surgery
Arrhythmogenic Right Ventricular Dysplasia (ARVD),Palpitations - Fainting - Sudden cardiac arrest,Genetic mutations - Family history,Implantable cardioverter-defibrillator (ICD) - Medications (beta-blockers)
Ebstein's Anomaly,Cyanosis (bluish skin) - Shortness of breath - Fatigue,Maternal lithium use during pregnancy - Genetics,Observation - Surgery (repair or replacement of tricuspid valve)
Tetralogy of Fallot,Blue-tinged skin - Shortness of breath - Poor weight gain,Genetics - Maternal smoking during pregnancy,Open-heart surgery (corrective repair)
Aneurysm,Abdominal or chest pain - Back pain - Shortness of breath,High blood pressure - Atherosclerosis - Family history,Surgery (aneurysm repair) - Endovascular stent graft
High Blood Pressure (Hypertension),Headache - Fatigue - Chest pain - Vision problems,Age - Family history - Obesity - Smoking,Medications (diuretics, ACE inhibitors) - Lifestyle changes (diet, exercise)
Deep Vein Thrombosis (DVT),Swelling - Pain - Red or discolored skin,Immobilization - Surgery - Cancer,Anticoagulant medications - Compression stockings - Thrombolytics
Pulmonary Embolism (PE),Shortness of breath - Chest pain - Rapid heart rate,Deep vein thrombosis (DVT) - Surgery - Cancer,Anticoagulant medications - Thrombolytics - Oxygen therapy
Atrial Fibrillation,Irregular heartbeat - Fatigue - Dizziness,Age - High blood pressure - Heart valve disorders,Medications (anticoagulants, antiarrhythmics) - Cardioversion - Ablation
Ventricular Fibrillation,Sudden loss of consciousness - No pulse - No breathing,Heart attack - Previous heart surgery - Family history,Defibrillation - CPR - Medications (amiodarone)
Peripartum Cardiomyopathy,Shortness of breath - Swelling in legs - Fatigue,Advanced maternal age - Hypertension - Multiple pregnancies,Medications (beta-blockers, diuretics) - Heart transplant
Aortic Dissection,Sudden severe chest or back pain - Shortness of breath,High blood pressure - Connective tissue disorders - Aging,Surgery (aortic repair) - Medications (beta-blockers)
Alzheimer's Disease,Memory loss - Confusion - Difficulty in problem-solving,Aging - Family history - Genetics,Cholinesterase inhibitors - Memantine - Cognitive therapy
Parkinson's Disease,Tremors - Bradykinesia - Muscle stiffness,Aging - Genetics - Environmental toxins,Dopamine agonists - Levodopa - Deep brain stimulation
Multiple Sclerosis (MS),Fatigue - Numbness or tingling - Difficulty walking,Genetics - Smoking - Vitamin D deficiency,Immunomodulatory medications - Corticosteroids - Physical therapy
Amyotrophic Lateral Sclerosis (ALS),Muscle weakness - Difficulty in speech and swallowing,Genetics - Aging - Environmental factors,Riluzole - Edaravone - Supportive care
Epilepsy,Seizures - Temporary confusion - Uncontrollable movements,Brain injury - Genetics - Stroke,Antiepileptic medications - Ketogenic diet - Vagus nerve stimulation
Migraine,Severe headaches - Nausea - Sensitivity to light and sound,Genetics - Hormonal changes - Triggers (food, stress),Pain relievers - Triptans - Preventive medications
Cerebral Palsy,Muscle stiffness - Poor coordination - Speech difficulties,Brain injury during childbirth - Premature birth - Infections,Physical therapy - Medications (muscle relaxants) - Surgery
Huntington's Disease,Involuntary movements - Cognitive decline - Mood changes,Genetics - Family history - Age,Tetrabenazine - Antipsychotic medications - Supportive care
Cerebrovascular Accident (Stroke),Sudden numbness or weakness - Difficulty speaking - Severe headache,High blood pressure - Smoking - Diabetes,Clot-dissolving medications - Aspirin - Rehabilitation
Traumatic Brain Injury (TBI),Headache - Memory problems - Mood changes,Falls - Car accidents - Sports injuries,Rest - Rehabilitation - Medications (pain relievers)
Brain Tumor,Headache - Seizures - Changes in vision,Genetics - Radiation exposure - Family history,Surgery - Radiation therapy - Chemotherapy
Cerebral Aneurysm,Severe headache - Blurred vision - Neck pain,High blood pressure - Smoking - Genetics,Endovascular coiling - Clipping - Surgical intervention
Encephalitis,Fever - Headache - Confusion,Viral infections - Immunodeficiency - Mosquito-borne diseases,Antiviral medications - Immune therapies - Supportive care
Meningitis,Headache - Stiff neck - Fever,Viral or bacterial infections - Weakened immune system,Antibiotics - Antiviral medications - Vaccination
Neurofibromatosis,Tumors on nerves - Cafe-au-lait spots - Learning disabilities,Genetics - Family history - Spontaneous mutations,Surgery - Radiation therapy - Medications (pain relief)
Creutzfeldt-Jakob Disease,Rapid cognitive decline - Muscle stiffness - Seizures,Genetics - Exposure to infected tissues,Symptomatic treatment - Supportive care
Guillain-Barré Syndrome,Weakness - Tingling - Paralysis,Viral or bacterial infections - Immunizations - Surgery,Immunoglobulin therapy - Plasmapheresis - Physical therapy
Peripheral Neuropathy,Numbness - Tingling - Pain,Diabetes - Alcohol abuse - Chemotherapy,Medications (pain relievers) - Physical therapy - Lifestyle changes
Restless Legs Syndrome (RLS),Uncomfortable sensations in legs - Urge to move legs,Genetics - Iron deficiency - Chronic diseases,Dopamine agonists - Anticonvulsants - Iron supplements
Bell's Palsy,Facial weakness - Drooping - Loss of taste,Viral infections - Diabetes - Upper respiratory infections,Corticosteroids - Antiviral medications - Physical therapy
Narcolepsy,Excessive daytime sleepiness - Cataplexy - Sleep paralysis,Genetics - Family history - Autoimmune disorders,Stimulant medications - Sodium oxybate - Lifestyle changes
Bipolar Disorder,Manic episodes - Depressive episodes - Mood swings,Genetics - Family history - Stress management,Mood stabilizers - Antidepressants - Psychotherapy
Major Depressive Disorder (MDD),Persistent sadness - Loss of interest - Fatigue,Genetics - Brain structure abnormalities - Trauma,Antidepressant medications - Psychotherapy - Electroconvulsive therapy (ECT)
Schizophrenia,Delusions - Hallucinations - Disorganized thinking,Genetics - Trauma - Drug use,Antipsychotic medications - Psychotherapy - Supportive care
Obsessive-Compulsive Disorder (OCD),Obsessions - Compulsions - Anxiety,Genetics - Brain structure abnormalities - Trauma,Selective serotonin reuptake inhibitors (SSRIs) - Cognitive-behavioral therapy (CBT) - Exposure and response prevention
Attention-Deficit/Hyperactivity Disorder (ADHD),Inattention - Hyperactivity - Impulsivity,Genetics - Brain structure abnormalities - Premature birth,Stimulant medications - Non-stimulant medications - Behavioral therapy
Post-Traumatic Stress Disorder (PTSD),Flashbacks - Nightmares - Avoidance behaviors,Trauma - Genetics - Brain structure abnormalities,Psychotherapy - Medications (antidepressants) - Eye movement desensitization and reprocessing (EMDR)
Eating Disorders (Anorexia, Bulimia, Binge Eating),Abnormal eating patterns - Body image concerns - Weight fluctuations,Genetics - Societal pressure - Trauma,Nutritional counseling - Psychotherapy - Medications (antidepressants)
Autism Spectrum Disorder (ASD),Social difficulties - Repetitive behaviors - Communication challenges,Genetics - Advanced parental age - Environmental factors,Applied behavior analysis (ABA) - Speech therapy - Occupational therapy
Intellectual Disability,Limitations in intellectual functioning - Adaptive behavior deficits,Genetics - Prenatal exposure to toxins - Complications during childbirth,Early intervention programs - Special education - Supportive services
Hemorrhagic Stroke,Sudden severe headache - Loss of consciousness - Weakness,High blood pressure - Smoking - Blood vessel abnormalities,Surgery - Endovascular procedures - Rehabilitation
Ischemic Stroke,Sudden numbness or weakness - Difficulty speaking - Severe headache,High blood pressure - Smoking - Diabetes,Thrombolytic medications - Aspirin - Rehabilitation
Transient Ischemic Attack (TIA),Temporary weakness - Speech difficulties - Vision changes,High blood pressure - Smoking - Diabetes,Medications (antiplatelets) - Lifestyle changes - Rehabilitation
Leptomeningeal Disease,Headache - Neck stiffness - Nausea,Cancer (metastatic) - Leukemia - Lymphoma,Craniospinal radiation - Intrathecal chemotherapy - Supportive care
Chronic Traumatic Encephalopathy (CTE),Memory loss - Impaired judgment - Mood swings,Repetitive head injuries - Contact sports - Military service,Symptomatic treatment - Supportive care
Arnold-Chiari Malformation,Headache - Neck pain - Balance problems,Genetics - Spinal defects - Hydrocephalus,Surgery (decompression) - Shunt placement - Medications (pain relief)
Idiopathic Intracranial Hypertension (IIH),Headache - Vision changes - Tinnitus,Obesity - Female gender - Certain medications,Weight loss - Medications (diuretics) - Shunt placement
Subarachnoid Hemorrhage,Sudden severe headache - Neck stiffness - Loss of consciousness,High blood pressure - Smoking - Aneurysm,Clipping - Coiling - Rehabilitation
Nervous System Vasculitis,Headache - Seizures - Memory loss,Autoimmune disorders - Infections - Connective tissue diseases,Immunosuppressive medications - Corticosteroids - Plasmapheresis
Central Pontine Myelinolysis,Difficulty speaking - Paralysis - Difficulty swallowing,Rapid correction of hyponatremia - Alcohol abuse - Liver transplantation,Supportive care - Rehabilitation
Frontotemporal Dementia,Personality changes - Language difficulties - Poor judgment,Genetics - Family history - Brain atrophy,Supportive care - Medications (antidepressants, antipsychotics)
Neurocysticercosis,Seizures - Headache - Cognitive impairment,Consumption of undercooked pork - Travel to endemic areas,Anthelmintic medications - Anticonvulsants - Corticosteroids
Intracranial Hypotension,Severe headache - Neck pain - Nausea,Spinal surgery - Lumbar puncture - Trauma,Bed rest - Caffeine - Epidural blood patch
Neurodegeneration with Brain Iron Accumulation (NBIA),Movement difficulties - Cognitive decline - Speech problems,Genetics - Family history - Iron metabolism disorders,Supportive care - Medications (chelating agents) - Physical therapy
Subacute Sclerosing Panencephalitis (SSPE),Personality changes - Seizures - Motor disturbances,Measles infection (past) - Genetics - Immune system abnormalities,Supportive care - Antiviral medications
Friedreich's Ataxia,Gait disturbances - Weakness - Speech problems,Genetics - Family history - Decreased frataxin protein,Supportive care - Physical therapy - Assistive devices
Primary Central Nervous System Lymphoma,Changes in vision - Seizures - Cognitive decline,Immunodeficiency - Aging - Certain infections,High-dose chemotherapy - Radiation therapy - Immunotherapy
Neurofibromatosis,Tumors on nerves - Cafe-au-lait spots - Learning disabilities,Genetics - Family history - Spontaneous mutations,Surgery - Radiation therapy - Medications (pain relief)
Creutzfeldt-Jakob Disease,Rapid cognitive decline - Muscle stiffness - Seizures,Genetics - Exposure to infected tissues,Symptomatic treatment - Supportive care
Guillain-Barré Syndrome,Weakness - Tingling - Paralysis,Viral or bacterial infections - Immunizations - Surgery,Immunoglobulin therapy - Plasmapheresis - Physical therapy
Peripheral Neuropathy,Numbness - Tingling - Pain,Diabetes - Alcohol abuse - Chemotherapy,Medications (pain relievers) - Physical therapy - Lifestyle changes
Restless Legs Syndrome (RLS),Uncomfortable sensations in legs - Urge to move legs,Genetics - Iron deficiency - Chronic diseases,Dopamine agonists - Anticonvulsants - Iron supplements
Bell's Palsy,Facial weakness - Drooping - Loss of taste,Viral infections - Diabetes - Upper respiratory infections,Corticosteroids - Antiviral medications - Physical therapy
Narcolepsy,Excessive daytime sleepiness - Cataplexy - Sleep paralysis,Genetics - Family history - Autoimmune disorders,Stimulant medications - Sodium oxybate - Lifestyle changes
Bipolar Disorder,Manic episodes - Depressive episodes - Mood swings,Genetics - Family history - Stress management,Mood stabilizers - Antidepressants - Psychotherapy
Major Depressive Disorder (MDD),Persistent sadness - Loss of interest - Fatigue,Genetics - Brain structure abnormalities - Trauma,Antidepressant medications - Psychotherapy - Electroconvulsive therapy (ECT)
Schizophrenia,Delusions - Hallucinations - Disorganized thinking,Genetics - Trauma - Drug use,Antipsychotic medications - Psychotherapy - Supportive care
Obsessive-Compulsive Disorder (OCD),Obsessions - Compulsions - Anxiety,Genetics - Brain structure abnormalities - Trauma,Selective serotonin reuptake inhibitors (SSRIs) - Cognitive-behavioral therapy (CBT) - Exposure and response prevention
Attention-Deficit/Hyperactivity Disorder (ADHD),Inattention - Hyperactivity - Impulsivity,Genetics - Brain structure abnormalities - Premature birth,Stimulant medications - Non-stimulant medications - Behavioral therapy
Post-Traumatic Stress Disorder (PTSD),Flashbacks - Nightmares - Avoidance behaviors,Trauma - Genetics - Brain structure abnormalities,Psychotherapy - Medications (antidepressants) - Eye movement desensitization and reprocessing (EMDR)
Eating Disorders (Anorexia, Bulimia, Binge Eating),Abnormal eating patterns - Body image concerns - Weight fluctuations,Genetics - Societal pressure - Trauma,Nutritional counseling - Psychotherapy - Medications (antidepressants)
Autism Spectrum Disorder (ASD),Social difficulties - Repetitive behaviors - Communication challenges,Genetics - Advanced parental age - Environmental factors,Applied behavior analysis (ABA) - Speech therapy - Occupational therapy
Intellectual Disability,Limitations in intellectual functioning - Adaptive behavior deficits,Genetics - Prenatal exposure to toxins - Complications during childbirth,Early intervention programs - Special education - Supportive services
Hemorrhagic Stroke,Sudden severe headache - Loss of consciousness - Weakness,High blood pressure - Smoking - Blood vessel abnormalities,Surgery - Endovascular procedures - Rehabilitation
Ischemic Stroke,Sudden numbness or weakness - Difficulty speaking - Severe headache,High blood pressure - Smoking - Diabetes,Thrombolytic medications - Aspirin - Rehabilitation
Transient Ischemic Attack (TIA),Temporary weakness - Speech difficulties - Vision changes,High blood pressure - Smoking - Diabetes,Medications (antiplatelets) - Lifestyle changes - Rehabilitation
Leptomeningeal Disease,Headache - Neck stiffness - Nausea,Cancer (metastatic) - Leukemia - Lymphoma,Craniospinal radiation - Intrathecal chemotherapy - Supportive care
Chronic Traumatic Encephalopathy (CTE),Memory loss - Impaired judgment - Mood swings,Repetitive head injuries - Contact sports - Military service,Symptomatic treatment - Supportive care
Arnold-Chiari Malformation,Headache - Neck pain - Balance problems,Genetics - Spinal defects - Hydrocephalus,Surgery (decompression) - Shunt placement - Medications (pain relief)
Idiopathic Intracranial Hypertension (IIH),Headache - Vision changes - Tinnitus,Obesity - Female gender - Certain medications,Weight loss - Medications (diuretics) - Shunt placement
Subarachnoid Hemorrhage,Sudden severe headache - Neck stiffness - Loss of consciousness,High blood pressure - Smoking - Aneurysm,Clipping - Coiling - Rehabilitation
Cataracts,Cloudy vision - Sensitivity to light - Fading colors,Aging - Diabetes - UV radiation exposure,Surgery (cataract removal) - Intraocular lens implantation
Glaucoma,Gradual loss of peripheral vision - Eye pain - Blurred vision,Aging - Family history - High intraocular pressure (IOP),Medications (eye drops) - Laser therapy - Surgery (trabeculectomy)
Macular Degeneration (AMD),Blurred or distorted central vision - Difficulty recognizing faces,Aging - Family history - Smoking,Anti-VEGF medications - Laser therapy - Low vision aids
Diabetic Retinopathy,Blurred vision - Floaters - Blindness (in severe cases),Diabetes - Poor blood sugar control - Hypertension,Laser therapy - Anti-VEGF medications - Vitrectomy
Retinal Detachment,Floaters - Flashes of light - Curtain-like shadow over vision,Aging - Previous eye surgeries - Myopia (nearsightedness),Surgery (retinal reattachment) - Scleral buckle
Dry Eye Syndrome,Stinging or burning sensation - Redness - Blurred vision,Aging - Hormonal changes - Medications (antihistamines),Artificial tears - Prescription eye drops - Punctal plugs
Conjunctivitis (Pink Eye),Redness - Itching - Discharge,Allergies - Viral or bacterial infections - Irritants,Artificial tears - Antihistamines - Antibiotics (bacterial conjunctivitis)
Keratitis,Eye pain - Blurred vision - Sensitivity to light,Contact lens wear - Infections - Trauma,Antibiotic or antiviral eye drops - Corticosteroids - Pain relievers
Uveitis,Redness - Blurred vision - Eye pain,Autoimmune disorders - Infections - Trauma,Corticosteroids - Immunosuppressive medications - Pupil-dilating eye drops
Retinoblastoma,White pupil - Crossed eyes - Vision problems,Genetic mutations - Family history - Age (early childhood),Chemotherapy - Laser therapy - Enucleation (removal of the eye)
Strabismus,Crossed eyes - Double vision - Squinting,Genetic factors - Neurological conditions - Vision problems,Corrective lenses - Eye patches - Surgery (strabismus correction)
Amblyopia (Lazy Eye),Reduced vision in one eye - Squinting - Poor depth perception,Strabismus - Refractive errors - Family history,Corrective lenses - Eye patches - Vision therapy
Nystagmus,Involuntary eye movement - Reduced vision - Sensitivity to light,Genetic disorders - Neurological conditions - Medications (anticonvulsants),Corrective lenses - Surgery (in some cases)
Retinitis Pigmentosa,Night blindness - Tunnel vision - Difficulty seeing in low light,Genetic mutations - Age,Supportive care - Low vision aids - Gene therapy (in experimental stages)
Ocular Hypertension,Elevated intraocular pressure - No noticeable symptoms,Aging - Family history - Ethnicity (African descent),Close monitoring - Medications (eye drops)
Ptosis (Drooping Eyelid),Sagging upper eyelid - Impaired vision - Headache,Age - Nerve damage - Trauma,Surgery (ptosis repair) - Botox injections (in some cases)
Color Blindness,Difficulty distinguishing certain colors - Color confusion,Genetic mutations - Age (rarely acquired),Adaptive devices - Color-correcting lenses - Vision aids
Retinopathy of Prematurity (ROP),Abnormal blood vessel growth - Retinal scarring - Blindness,Premature birth - Low birth weight - Supplemental oxygen,Laser therapy - Cryotherapy - Surgery (retinal detachment)
Corneal Ulcer,Eye pain - Redness - Blurred vision,Contact lens wear - Eye injuries - Bacterial or fungal infections,Topical antibiotics - Antifungal medications - Lubricating eye drops
Ocular Melanoma,Changes in the appearance of the eye - Vision changes,Light eye color - Age - UV radiation exposure,Surgery (tumor removal) - Radiation therapy - Enucleation (in some cases)
Ocular Myasthenia Gravis,Double vision - Eyelid drooping - Fatigue,Autoimmune disorders - Thymus gland abnormalities - Genetic factors,Medications (anticholinesterase drugs) - Immunosuppressants - Thymectomy
Hemianopsia,Visual field loss in one-half of both eyes,Stroke - Traumatic brain injury - Brain tumors,Rehabilitation therapy - Prism glasses - Vision aids
Corneal Dystrophy,Blurred vision - Light sensitivity - Eye pain,Genetic mutations - Age,Corneal transplantation - Topical medications - Phototherapeutic keratectomy (PTK)
Pinguecula,Yellowish growth on the conjunctiva - Redness - Dryness,UV radiation exposure - Aging - Dry eye syndrome,Lubricating eye drops - Sunglasses - Surgery (in some cases)
Pterygium,Growth on the cornea - Redness - Irritation,UV radiation exposure - Dry, windy environments,Surgery (pterygium excision) - Artificial tears - Anti-inflammatory medications
Corneal Abrasion,Scratched cornea - Eye pain - Blurred vision,Foreign objects - Trauma - Improper contact lens use,Topical antibiotics - Pain relievers - Bandage contact lenses
Macular Hole,Blurry or distorted central vision - Central scotoma - Difficulty reading,Aging - Trauma - High myopia,Macular hole surgery - Vitrectomy - Gas injection
Retinoschisis,Blurred or distorted vision - Floaters - Reduced peripheral vision,Genetic mutations - Age - High myopia,Observation - Laser therapy (in some cases) - Vitrectomy
Ocular Albinism,Nystagmus - Reduced pigmentation in the eyes,Genetic mutations - Family history - Male gender,Low-vision aids - Corrective lenses - Visual aids
Recurrent Corneal Erosion,Sudden onset of eye pain - Photophobia - Blurred vision,Corneal dystrophy - Previous eye injuries - Dry eye syndrome,Lubricating eye drops - Bandage contact lenses - Epithelial debridement
Ocular Migraine,Temporary vision loss or blindness - Visual disturbances,Genetic factors - Hormonal changes - Stress management,Avoidance of triggers - Medications (pain relievers)
Retinal Artery Occlusion,Sudden vision loss - Floaters - Retinal pallor,High blood pressure - Diabetes - Smoking,Intravenous thrombolysis - Ocular massage - Hyperbaric oxygen therapy
Retinal Vein Occlusion,Blurry or distorted vision - Hemorrhages - Macular edema,Age - Hypertension - Diabetes,Intravitreal injections - Laser therapy - Anti-VEGF medications
Optic Neuritis,Eye pain - Blurred vision - Loss of color vision,Multiple sclerosis - Viral infections - Autoimmune disorders,Steroids - Plasma exchange - Symptomatic treatment
Choroideremia,Progressive vision loss - Night blindness - Peripheral vision loss,Genetic mutations - Family history - Male gender,Supportive care - Low-vision aids - Gene therapy (in experimental stages)
Ocular Lymphoma,Changes in vision - Eye pain - Floaters,Immunodeficiency - Aging - Certain infections,Radiation therapy - Chemotherapy - Immunotherapy
Cystoid Macular Edema,Blurred or distorted central vision - Central scotoma,Diabetes - Retinal vascular diseases - Uveitis,Topical or systemic medications - Laser therapy - Surgery (vitrectomy)
Ocular Toxoplasmosis,Blurry vision - Eye pain - Floaters,Contact with contaminated cat feces - Undercooked meat consumption,Medications (antibiotics) - Corticosteroids - Supportive care
